koda_letalisce,ime
CES,Cessnock Airport
NSO,Scone Airport
DGE,Mudgee Airport
MTL,Maitland Airport
CPX,Benjamin Rivera Noriega Airport
MWA,Williamson County Regional Airport
OCN,Oceanside Municipal Airport
KIK,Kirkuk Air Base
XJD,Al Udeid Air Base
GBZ,Great Barrier Aerodrome
IMT,Ford Airport
AET,Allakaket Airport
MGC,Michigan City Municipal Airport
SWD,Seward Airport
GRM,Grand Marais Cook County Airport
AUW,Wausau Downtown Airport
MYP,Mary Airport
MVA,Reykjahlíð Airport
QSA,Sabadell Airport
WSY,Whitsunday Island Airport
MIE,Delaware County Johnson Field
LAF,Purdue University Airport
VGT,North Las Vegas Airport
ENW,Kenosha Regional Airport
MTJ,Montrose Regional Airport
RIW,Riverton Regional Airport
PDT,Eastern Oregon Regional At Pendleton Airport
LYM,Lympne Airport
PKH,Porto Cheli Airport
KTR,Tindal Airport
NOA,Nowra Airport
UCK,Lutsk Airport
CEJ,Chernihiv Shestovitsa Airport
BQT,Brest Airport
OSH,Wittman Regional Airport
AGE,Wangerooge Airport
BXG,Bendigo Airport
EAT,Pangborn Memorial Airport
ARE,Antonio Nery Juarbe Pol Airport
RIN,Ringi Cove Airport
KCK,Kirensk Airport
UKX,Ust-Kut Airport
RMT,Rimatara Airport
QLS,Lausanne-Blécherette Airport
ZJI,Locarno Airport
QNC,Neuchatel Airport
TGK,Taganrog Yuzhny Airport
GDZ,Gelendzhik Airport
ZIA,Zhukovsky International Airport
IAR,Tunoshna Airport
OHE,Gu-Lian Airport
JNG,Jining Qufu Airport
DRK,Drake Bay Airport
AAT,Altay Air Base
TZL,Tuzla International Airport
FWH,NAS Fort Worth JRB/Carswell Field
NYT,Naypyidaw Airport
VBP,Bokpyinn Airport
NZH,Manzhouli Xijiao Airport
WUA,Wuhai Airport
GYY,Gary Chicago International Airport
BRD,Brainerd Lakes Regional Airport
LWB,Greenbrier Valley Airport
PGV,Pitt Greenville Airport
CYF,Chefornak Airport
OXR,Oxnard Airport
BKG,Branson Airport
TEN,Tongren Fenghuang Airport
JGS,Jinggangshan Airport
NIU,Naiu Airport
SCH,Schenectady County Airport
NBC,Begishevo Airport
QRW,Warri Airport
IAO,Siargao Airport
LGO,Langeoog Airport
NLP,Nelspruit Airport
CKC,Cherkasy International Airport
UST,Northeast Florida Regional Airport
NLV,Mykolaiv International Airport
RHP,Ramechhap Airport
STS,Charles M. Schulz Sonoma County Airport
ISM,Kissimmee Gateway Airport
LCQ,Lake City Gateway Airport
LGU,Logan-Cache Airport
BMC,Brigham City Regional Airport
ASE,Aspen-Pitkin Co/Sardy Field
ULV,Ulyanovsk Baratayevka Airport
ERV,Kerrville Municipal Louis Schreiner Field
GED,Sussex County Airport
ZSW,Prince Rupert/Seal Cove Seaplane Base
GBD,Great Bend Municipal Airport
HYS,Hays Regional Airport
SUS,Spirit of St Louis Airport
LYU,Ely Municipal Airport
GPZ,Grand Rapids Itasca Co-Gordon Newstrom field
TVF,Thief River Falls Regional Airport
EGV,Eagle River Union Airport
ARV,Lakeland-Noble F. Lee Memorial field
YBV,Berens River Airport
AVX,Catalina Airport
MHV,Mojave Airport
ZIN,Interlaken Air Base
INQ,Inisheer Aerodrome
SWT,Strezhevoy Airport
HUT,Hutchinson Municipal Airport
OAI,Bagram Air Base
AKH,Prince Sultan Air Base
STJ,Rosecrans Memorial Airport
VOK,Volk Field
GUC,Gunnison Crested Butte Regional Airport
SIA,Xi'an Xiguan Airport
TOA,Zamperini Field
MBL,Manistee Co Blacker Airport
PGD,Charlotte County Airport
WFK,Northern Aroostook Regional Airport
JHW,Chautauqua County-Jamestown Airport
YTM,La Macaza / Mont-Tremblant International Inc Airport
SME,Lake Cumberland Regional Airport
SHD,Shenandoah Valley Regional Airport
DVL,Devils Lake Regional Airport
DIK,Dickinson Theodore Roosevelt Regional Airport
SDY,Sidney - Richland Regional Airport
CDR,Chadron Municipal Airport
AIA,Alliance Municipal Airport
MCK,Mc Cook Ben Nelson Regional Airport
MTH,The Florida Keys Marathon Airport
GDV,Dawson Community Airport
OLF,L M Clayton Airport
WYS,Yellowstone Airport
ALS,San Luis Valley Regional Bergman Field
CNY,Canyonlands Field
ELY,Ely Airport Yelland Field
VEL,Vernal Regional Airport
RUI,Sierra Blanca Regional Airport
SOW,Show Low Regional Airport
MYL,McCall Municipal Airport
SMN,Lemhi County Airport
MMH,Mammoth Yosemite Airport
FRD,Friday Harbor Airport
ESD,Orcas Island Airport
AST,Astoria Regional Airport
ONP,Newport Municipal Airport
EMK,Emmonak Airport
UNK,Unalakleet Airport
UUK,Ugnu-Kuparuk Airport
SHX,Shageluk Airport
CHU,Chuathbaluk Airport
NUI,Nuiqsut Airport
EEK,Eek Airport
KUK,Kasigluk Airport
KWT,Kwethluk Airport
KWK,Kwigillingok Airport
MLL,Marshall Don Hunter Sr Airport
RSH,Russian Mission Airport
KGK,Koliganek Airport
KMO,Manokotak Airport
CIK,Chalkyitsik Airport
EAA,Eagle Airport
HUS,Hughes Airport
HSL,Huslia Airport
NUL,Nulato Airport
VEE,Venetie Airport
WBQ,Beaver Airport
CEM,Central Airport
SHG,Shungnak Airport
IYK,Inyokern Airport
VIS,Visalia Municipal Airport
MCE,Merced Regional Macready Field
CYR,Laguna de Los Patos International Airport
CPQ,Amarais Airport
GYR,Phoenix Goodyear Airport
TWB,Toowoomba Airport
BBL,Ballera Airport
AYK,Arkalyk North Airport
AGN,Angoon Seaplane Base
ELV,Elfin Cove Seaplane Base
FNR,Funter Bay Seaplane Base
HNH,Hoonah Airport
MTM,Metlakatla Seaplane Base
HYG,Hydaburg Seaplane Base
EGX,Egegik Airport
KPV,Perryville Airport
PIP,Pilot Point Airport
WSN,South Naknek Nr 2 Airport
AKK,Akhiok Airport
KYK,Karluk Airport
KLN,Larsen Bay Airport
ABL,Ambler Airport
BKC,Buckland Airport
IAN,Bob Baker Memorial Airport
OBU,Kobuk Airport
ORV,Robert (Bob) Curtis Memorial Airport
WLK,Selawik Airport
KTS,Brevig Mission Airport
ELI,Elim Airport
GLV,Golovin Airport
TLA,Teller Airport
WAA,Wales Airport
WMO,White Mountain Airport
KKA,Koyuk Alfred Adams Airport
SMK,St Michael Airport
SKK,Shaktoolik Airport
TNC,Tin City Long Range Radar Station Airport
AKB,Atka Airport
IKO,Nikolski Air Station
CYT,Yakataga Airport
AUK,Alakanuk Airport
KPN,Kipnuk Airport
KFP,False Pass Airport
NLG,Nelson Lagoon Airport
PML,Port Moller Airport
KLW,Klawock Airport
KWN,Quinhagak Airport
KOT,Kotlik Airport
KYU,Koyukuk Airport
SCM,Scammon Bay Airport
NNL,Nondalton Airport
KKH,Kongiganak Airport
NIB,Nikolai Airport
AKI,Akiak Airport
AIN,Wainwright Airport
APZ,Zapala Airport
RDS,Rincon De Los Sauces Airport
PNT,Tte. Julio Gallardo Airport
SGV,Sierra Grande Airport
IGB,Cabo F.A.A. H. R. Bordón Airport
NCN,Chenega Bay Airport
TKJ,Tok Junction Airport
IRC,Circle City /New/ Airport
SLQ,Sleetmute Airport
LMA,Minchumina Airport
MLY,Manley Hot Springs Airport
YNP,Natuashish Airport
YSO,Postville Airport
YWB,Kangiqsujuaq (Wakeham Bay) Airport
YTF,Alma Airport
YGV,Havre St Pierre Airport
YXK,Rimouski Airport
XTL,Tadoule Lake Airport
XLB,Lac Brochet Airport
XSI,South Indian Lake Airport
YBT,Brochet Airport
ZGR,Little Grand Rapids Airport
YCR,Cross Lake (Charlie Sinclair Memorial) Airport
YRS,Red Sucker Lake Airport
YOP,Rainbow Lake Airport
YBY,Bonnyville Airport
ZNA,Nanaimo Harbour Water Airport
YGG,Ganges Seaplane Base
YDT,Boundary Bay Airport
YLY,Langley Airport
YFJ,Wekweètì Airport
RNI,Corn Island
BZA,San Pedro Airport
RFS,Rosita Airport
SIU,Siuna
WSP,Waspam Airport
NCR,San Carlos
PLD,Playa Samara/Carrillo Airport
COZ,Constanza - Expedición 14 de Junio National Airport
NEG,Negril Airport
NRR,José Aponte de la Torre Airport
SPB,Charlotte Amalie Harbor Seaplane Base
ARR,D. Casimiro Szlapelis Airport
JSM,Jose De San Martin Airport
UYU,Uyuni Airport
RBQ,Rurenabaque Airport
ABF,Abaiang Airport
ABN,Albina Airport
DRJ,Drietabbetje Airport
MOJ,Moengo Airstrip
ICK,Nieuw Nickerie Airport
OEM,Vincent Fayks Airport
SMZ,Stoelmanseiland Airport
TOT,Totness Airport
AGI,Wageningen Airstrip
ORJ,Orinduik Airport
NAI,Annai Airport
IMB,Imbaimadai Airport
KAR,Kamarang Airport
USI,Mabaruma Airport
MHA,Mahdia Airport
PJC,Dr Augusto Roberto Fuster International Airport
ACD,Alcides Fernández Airport
RVE,Los Colonizadores Airport
BQJ,Batagay Airport
VGZ,Villa Garzón Airport
EBG,El Bagre Airport
CAQ,Juan H White Airport
COG,Mandinga Airport
TLU,Golfo de Morrosquillo Airport
CFB,Cabo Frio Airport
OPS,Presidente João Batista Figueiredo Airport
GRP,Gurupi Airport
CMP,Santana do Araguaia Airport
BVS,Breves Airport
SFK,Soure Airport
PIN,Parintins Airport
BRA,Barreiras Airport
STZ,Santa Terezinha Airport
MQH,Minaçu Airport
AUX,Araguaína Airport
NVP,Novo Aripuanã Airport
FRC,Tenente Lund Pressoto Airport
DOU,Dourados Airport
LBR,Lábrea Airport
ROO,Maestro Marinho Franco Airport
GPB,Tancredo Thomas de Faria Airport
JCB,Santa Terezinha Airport
RVD,General Leite de Castro Airport
AAX,Romeu Zema Airport
MBZ,Maués Airport
RBB,Borba Airport
CIZ,Coari Airport
BAZ,Barcelos Airport
DMT,Diamantino Airport
GNM,Guanambi Airport
QDJ,Tsletsi Airport
NZA,Nzagi Airport
LBZ,Lucapa Airport
KNP,Capanda Airport
AMC,Am Timan Airport
GSQ,Shark El Oweinat International Airport
MRB,Eastern WV Regional Airport/Shepherd Field
AWA,Awassa Airport
JIJ,Wilwal International Airport
MKS,Mekane Selam Airport
DBM,Debra Marcos Airport
DBT,Debre Tabor Airport
QHR,Harar Meda Airport
GOB,Robe Airport
MYB,Mayumba Airport
MRE,Mara Serena Lodge Airstrip
JJM,Mulika Lodge Airport
RBX,Rumbek Airport
CPA,Cape Palmas Airport
IHC,Inhaca Airport
MAX,Ouro Sogui Airport
BDI,Bird Island Airport
WHF,Wadi Halfa Airport
NBE,Enfidha - Hammamet International Airport
HTY,Hatay Airport
RVV,Raivavae Airport
FUO,Foshan Shadi Airport
HUZ,Huizhou Airport
ILD,Lleida-Alguaire Airport
BIU,Bildudalur Airport
GJR,Gjögur Airport
SAK,Sauðárkrókur Airport
IIA,Inishmaan Aerodrome
ULG,Ulgii Mongolei Airport
KQT,Qurghonteppa International Airport
VGD,Vologda Airport
ONK,Olenyok Airport
SYS,Saskylakh Airport
LDG,Leshukonskoye Airport
HSK,Huesca/Pirineos Airport
CQM,Ciudad Real Central Airport
NJF,Al Najaf International Airport
CSA,Colonsay Airstrip
RKH,Rock Hill - York County Airport
AGC,Allegheny County Airport
VQQ,Cecil Airport
FTY,Fulton County Airport Brown Field
TII,Tarin Kowt Airport
ZAJ,Zaranj Airport
CCN,Chakcharan Airport
FUG,Fuyang Xiguan Airport
LCX,Longyan Guanzhishan Airport
BSD,Baoshan Yunduan Airport
ACX,Xingyi Airport
HZH,Liping Airport
OSU,The Ohio State University Airport - Don Scott Field
ADS,Addison Airport
DSI,Destin Executive Airport
KHE,Kherson International Airport
SZS,Ryan's Creek Aerodrome
HJJ,Zhijiang Airport
YQI,Yarmouth Airport
ISO,Kinston Regional Jetport At Stallings Field
FFA,First Flight Airport
LNJ,Lintsang Airfield
CKS,Carajás Airport
MWK,Tarempa Airport
PGU,Persian Gulf International Airport
YES,Yasouj Airport
OSM,Mosul International Airport
TJH,Tajima Airport
AXJ,Amakusa Airport
KKX,Kikai Airport
AGJ,Aguni Airport
ULZ,Donoi Airport
UGA,Bulgan Airport
ULO,Ulaangom Airport
LBX,Lubang Airport
TJU,Kulob Airport
CMJ,Chi Mei Airport
TAZ,Daşoguz Airport
BWB,Barrow Island Airport
DRB,Derby Airport
WGE,Walgett Airport
BRT,Bathurst Island Airport
DKI,Dunk Island Airport
LZR,Lizard Island Airport
HLT,Hamilton Airport
HCQ,Halls Creek Airport
FIZ,Fitzroy Crossing Airport
RVT,Ravensthorpe Airport
PVU,Provo Municipal Airport
SBS,Steamboat Springs Bob Adams Field
DTA,Delta Municipal Airport
PUC,Carbon County Regional/Buck Davis Field
LAM,Los Alamos Airport
HII,Lake Havasu City Airport
INW,Winslow Lindbergh Regional Airport
DGL,Douglas Municipal Airport
MZK,Marakei Airport
AEA,Abemama Atoll Airport
AAK,Buariki Airport
KUC,Kuria Airport
AIS,Arorae Island Airport
TMN,Tamana Island Airport
BEZ,Beru Airport
NIG,Nikunau Airport
BBG,Butaritari Atoll Airport
MTK,Makin Island Airport
MNK,Maiana Airport
NON,Nonouti Airport
TSU,Tabiteuea South Airport
WTZ,Whitianga Airport
KTF,Takaka Airport
AFT,Afutara Aerodrome
RNA,Ulawa Airport
CHY,Choiseul Bay Airport
NNB,Santa Ana Airport
XYA,Yandina Airport
BPF,Batuna Aerodrome
BOW,Bartow Municipal Airport
FTI,Fitiuta Airport
LVK,Livermore Municipal Airport
RMY,Mariposa Yosemite Airport
GFY,Grootfontein Airport
NDU,Rundu Airport
TRM,Jacqueline Cochran Regional Airport
SMO,Santa Monica Municipal Airport
UDD,Bermuda Dunes Airport
SCF,Scottsdale Airport
OLM,Olympia Regional Airport
RIL,Garfield County Regional Airport
SAA,Shively Field
PDK,DeKalb Peachtree Airport
BMG,Monroe County Airport
SUA,Witham Field
MMU,Morristown Municipal Airport
APC,Napa County Airport
SDM,Brown Field Municipal Airport
VNC,Venice Municipal Airport
PHK,Palm Beach County Glades Airport
ECP,Northwest Florida Beaches International Airport
SBD,San Bernardino International Airport
VAL,Valença Airport
CAU,Caruaru Airport
AWK,Wake Island Airfield
QNV,Aeroclube Airport
SQL,San Carlos Airport
RWI,Rocky Mount Wilson Regional Airport
SXQ,Soldotna Airport
SEE,Gillespie Field
PHA,Phan Rang Airport
SQH,Na-San Airport
TKF,Truckee Tahoe Airport
FRJ,Fréjus Airport
GEX,Geelong Airport
LVM,Mission Field
GMV,Monument Valley Airport
JRA,West 30th St. Heliport
LAL,Lakeland Linder International Airport
SYH,Syangboche Airport
RBK,French Valley Airport
FNU,Oristano-Fenosu Airport
MYQ,Mysore Airport
MGY,Dayton-Wright Brothers Airport
FDY,Findlay Airport
PEA,Penneshaw Airport
EMP,Emporia Municipal Airport
HYC,Wycombe Air Park
BBP,Bembridge Airport
SPF,Black Hills Airport-Clyde Ice Field
QYD,Oksywie Military Air Base
OLV,Olive Branch Airport
KNA,Viña del mar Airport
ONQ,Zonguldak Airport
BJC,Rocky Mountain Metropolitan Airport
SLE,Salem Municipal Airport/McNary Field
UTM,Tunica Municipal Airport
ZKB,Kasaba Bay Airport
LND,Hunt Field
MWC,Lawrence J Timmerman Airport
JVL,Southern Wisconsin Regional Airport
LZU,Gwinnett County Briscoe Field
BWG,Bowling Green Warren County Regional Airport
RVS,Richard Lloyd Jones Jr Airport
NHD,Al Minhad Air Base
KGO,Kirovograd Airport
DBB,El Alamein International Airport
BCE,Bryce Canyon Airport
CKL,Chkalovskiy Air Base
TCZ,Tengchong Tuofeng Airport
UKS,Belbek Airport
OAZ,Camp Bastion Airport
JCI,New Century Aircenter Airport
ESN,Easton Newnam Field
HMR,Stafsberg Airport
MYV,Yuba County Airport
DUC,Halliburton Field
UVA,Garner Field
LOT,Lewis University Airport
CCR,Buchanan Field
OCA,Ocean Reef Club Airport
YUS,Yushu Batang Airport
HIA,Lianshui Airport
YOO,Toronto/Oshawa Executive Airport
LHA,Lahr Airport
NYW,Monywar Airport
ATO,Ohio University Snyder Field
SGH,Springfield-Beckley Municipal Airport
HEX,Herrera Airport
CDA,Cooinda Airport
JAB,Jabiru Airport
HGS,Hastings Airport
TOP,Philip Billard Municipal Airport
MQY,Smyrna Airport
UOS,Franklin County Airport
NGQ,Ngari Gunsa Airport
CSO,Cochstedt Airport
PWK,Chicago Executive Airport
KLS,Southwest Washington Regional Airport
ZTA,Tureia Airport
PUE,Puerto Obaldia Airport
KHC,Kerch Airport
UKA,Ukunda Airstrip
ILN,Wilmington Airpark
AVW,Marana Regional Airport
CGZ,Casa Grande Municipal Airport
BXK,Buckeye Municipal Airport
MMI,McMinn County Airport
STK,Sterling Municipal Airport
RWL,Rawlins Municipal Airport/Harvey Field
CDW,Essex County Airport
AIZ,Lee C Fine Memorial Airport
TVI,Thomasville Regional Airport
HSH,Henderson Executive Airport
GML,Gostomel Airport
TMA,Henry Tift Myers Airport
RDO,Radom Airport
DVT,Phoenix Deer Valley Airport
YRV,Revelstoke Airport
FRG,Republic Airport
ZHY,Zhongwei Shapotou Airport
MCL,McKinley National Park Airport
PPC,Prospect Creek Airport
KHW,Khwai River Lodge Airport
TXG,Taichung Airport
HLG,Wheeling Ohio County Airport
XYE,Ye Airport
DWC,Al Maktoum International Airport
RKP,Aransas County Airport
MVV,Megève Airport
MFX,Méribel Altiport
AEB,Baise Youjiang Airport
OKF,Okaukuejo Airport
OKU,Mokuti Lodge Airport
KOQ,Köthen Airport
PSH,St. Peter-Ording Airport
TTD,Portland Troutdale Airport
HIO,Portland Hillsboro Airport
KHT,Khost Airport
NMT,Namtu Airport
BNO,Burns Municipal Airport
PRZ,Prineville Airport
RBL,Red Bluff Municipal Airport
NOT,Marin County Airport - Gnoss Field
LKV,Lake County Airport
OTK,Tillamook Airport
ONO,Ontario Municipal Airport
DLS,Columbia Gorge Regional the Dalles Municipal Airport
GAI,Montgomery County Airpark
OAS,Sharana Airstrip
YTA,Pembroke Airport
TSB,Tsumeb Airport
YSD,Suffield Heliport
BNU,Blumenau Airport
YCC,Cornwall Regional Airport
IZA,Zona da Mata Regional Airport
MVL,Morrisville Stowe State Airport
RBD,Dallas Executive Airport
BXY,Krainiy Airport
WST,Westerly State Airport
BID,Block Island State Airport
NME,Nightmute Airport
OOK,Toksook Bay Airport
OBY,Ittoqqortoormiit Heliport
VIN,Vinnytsia/Gavyryshivka Airport
BGE,Decatur County Industrial Air Park
ZGS,La Romaine Airport
ZKG,Kegaska Airport
YBI,Black Tickle Airport
WHP,Whiteman Airport
MAE,Madera Municipal Airport
YZZ,Trail Airport
YAB,Old Arctic Bay Airport
GSI,Grand-Santi Airport
MPY,Maripasoula Airport
LDX,Saint-Laurent-du-Maroni Airport
KJI,Kanas Airport
CPB,Capurganá Airport
HMB,Sohag International Airport
RVY,Presidente General Don Oscar D. Gestido International Airport
POJ,Patos de Minas Airport
JTC,Bauru - Arealva Airport
OIA,Ourilândia do Norte Airport
RDC,Redenção Airport
SXX,São Félix do Xingu Airport
BYO,Bonito Airport
SXO,São Félix do Araguaia Airport
CFC,Caçador Airport
CAF,Carauari Airport
ERN,Eirunepé Airport
CCI,Concórdia Airport
FBE,Francisco Beltrão Airport
CFO,Confresa Airport
AAF,Apalachicola Regional Airport
UMU,Umuarama Airport
DTI,Diamantina Airport
FBA,Fonte Boa Airport
OLC,Senadora Eunice Micheles Airport
HUW,Humaitá Airport
IRZ,Tapuruquara Airport
ORX,Oriximiná Airport
UNA,Hotel Transamérica Airport
TEF,Telfer Airport
GZP,Gazipaşa Airport
OAA,Shank Air Base
FPR,St Lucie County International Airport
PYM,Plymouth Municipal Airport
NCO,Quonset State Airport
OWD,Norwood Memorial Airport
BAF,Westfield-Barnes Regional Airport
MGJ,Orange County Airport
HAR,Capital City Airport
DXR,Danbury Municipal Airport
ASH,Boire Field
LWM,Lawrence Municipal Airport
OXC,Waterbury Oxford Airport
RMG,Richard B Russell Airport
GAD,Northeast Alabama Regional Airport
WDR,Barrow County Airport
DNN,Dalton Municipal Airport
LGC,LaGrange Callaway Airport
PIM,Harris County Airport
GVL,Lee Gilmer Memorial Airport
PHD,Harry Clever Field
HHH,Hilton Head Airport
DNL,Daniel Field
MRN,Foothills Regional Airport
PVL,Pike County-Hatcher Field
TOC,Toccoa Airport - R.G. Letourneau Field
PLV,Suprunovka Airport
WUU,Wau Airport
HUE,Humera Airport
OYL,Moyale Airport
OZG,Zagora Airport
WYE,Yengema Airport
GBK,Gbangbatok Airport
THX,Turukhansk Airport
TGP,Podkamennaya Tunguska Airport
AFW,Fort Worth Alliance Airport
RMK,Renmark Airport
LGH,Leigh Creek Airport
RTS,Rottnest Island Airport
FOS,Forrest Airport
KEW,Keewaywin Airport
YSP,Marathon Airport
YHF,Hearst René Fontaine Municipal Airport
YHN,Hornepayne Municipal Airport
YKX,Kirkland Lake Airport
YMG,Manitouwadge Airport
YXZ,Wawa Airport
YEM,Manitoulin East Municipal Airport
LWC,Lawrence Municipal Airport
PPM,Pompano Beach Airpark
XMC,Mallacoota Airport
ULH,Majeed Bin Abdulaziz Airport
YUE,Yuendumu Airport
LOP,Lombok International Airport
ZMH,South Cariboo Region / 108 Mile Airport
HDG,Handan Airport
LOZ,London-Corbin Airport/Magee Field
FBG,Simmons Army Air Field
WMI,Modlin Airport
JXA,Jixi Xingkaihu Airport
JDG,Jeongseok Airport
YGM,Gimli Industrial Park Airport
EYK,Beloyarskiy Airport
RAC,John H Batten Airport
RZP,Cesar Lim Rodriguez Airport
RKZ,Shigatse Air Base
TIW,Tacoma Narrows Airport
GUF,Jack Edwards Airport
IBB,General Villamil Airport
HMJ,Khmelnytskyi Airport
HIW,Hiroshimanishi Airport
KYI,Yalata Mission Airport
HZL,Hazleton Municipal Airport
CBE,Greater Cumberland Regional Airport
WYN,Wyndham Airport
YBO,Bob Quinn Lake Airport
KLF,Grabtsevo Airport
LNR,Tri-County Regional Airport
JOT,Joliet Regional Airport
VYS,Illinois Valley Regional Airport-Walter A Duncan Field
JXN,Jackson County Reynolds Field
BBX,Wings Field
OBE,Okeechobee County Airport
SEF,Sebring Regional Airport
AVO,Avon Park Executive Airport
GIF,Winter Haven Regional Airport - Gilbert Field
ZPH,Zephyrhills Municipal Airport
OCF,Ocala International Airport - Jim Taylor Field
AIK,Aiken Regional Airport
CDN,Woodward Field
LBT,Lumberton Regional Airport
SOP,Moore County Airport
SVH,Statesville Regional Airport
LHV,William T. Piper Memorial Airport
BKL,Burke Lakefront Airport
DKK,Chautauqua County-Dunkirk Airport
LLY,South Jersey Regional Airport
LDJ,Linden Airport
ANQ,Tri State Steuben County Airport
CLW,Clearwater Air Park
CGX,Chicago Meigs Airport
CRE,Grand Strand Airport
BXO,Buochs Airport
WBW,Wilkes Barre Wyoming Valley Airport
LNN,Willoughby Lost Nation Municipal Airport
UMD,Uummannaq Heliport
RLK,Bayannur Tianjitai Airport
FFT,Capital City Airport
LEW,Auburn Lewiston Municipal Airport
MRK,Marco Island Executive Airport
DRE,Drummond Island Airport
GDW,Gladwin Zettel Memorial Airport
MFI,Marshfield Municipal Airport
ISW,Alexander Field South Wood County Airport
CWI,Clinton Municipal Airport
BVY,Beverly Municipal Airport
OSF,Ostafyevo International Airport
YRQ,Trois-Rivières Airport
POF,Poplar Bluff Municipal Airport
EOK,Keokuk Municipal Airport
PSL,Perth/Scone Airport
STP,St Paul Downtown Holman Field
SOO,Söderhamn Airport
VNA,Saravane Airport
DKS,Dikson Airport
BYT,Bantry Aerodrome
ADY,Alldays Airport
HAO,Butler Co Regional Airport - Hogan Field
GAS,Garissa Airport
HOA,Hola Airport
KEY,Kericho Airport
ILU,Kilaguni Airport
ATJ,Antsirabe Airport
OVA,Bekily Airport
UTS,Ust-Tsylma Airport
RGK,Gorno-Altaysk Airport
FLD,Fond du Lac County Airport
STE,Stevens Point Municipal Airport
MQJ,Moma Airport
PEF,Peenemünde Airport
CJN,Nusawiru Airport
GQQ,Galion Municipal Airport
TPN,Tiputini Airport
PTZ,Rio Amazonas Airport
CKV,Clarksville–Montgomery County Regional Airport
LPC,Lompoc Airport
CTH,Chester County G O Carlson Airport
BST,Bost Airport
LLK,Lankaran International Airport
GBB,Gabala International Airport
ZTU,Zaqatala International Airport
LKP,Lake Placid Airport
KDY,Typliy Klyuch Airport
GYG,Magan Airport
JIQ,Qianjiang Wulingshan Airport
AOH,Lima Allen County Airport
DSO,Sondok Airport
SSI,Malcolm McKinnon Airport
BFP,Beaver County Airport
GGE,Georgetown County Airport
HDI,Hardwick Field
RNT,Renton Municipal Airport
POC,Brackett Field
CTY,Cross City Airport
CEU,Oconee County Regional Airport
BEC,Beech Factory Airport
QFO,Duxford Aerodrome
SNY,Sidney Municipal-Lloyd W Carr Field
GKL,Great Keppel Is Airport
RPB,Roper Bar Airport
IFL,Innisfail Airport
JRF,Kalaeloa Airport
BIN,Bamiyan Airport
NBS,Changbaishan Airport
RGO,Orang Airport
MOO,Moomba Airport
LUZ,Lublin Airport
ECA,Iosco County Airport
VAM,Villa Airport
LLF,Lingling Airport
LSZ,Lošinj Island Airport
ONS,Onslow Airport
TDR,Theodore Airport
WBU,Boulder Municipal Airport
BBJ,Bitburg Airport
PAO,Palo Alto Airport of Santa Clara County
USR,Ust-Nera Airport
MSC,Falcon Field
YTY,Yangzhou Taizhou Airport
PTK,Oakland County International Airport
KSI,Kissidougou Airport
EEN,Dillant Hopkins Airport
THQ,Tianshui Maijishan Airport
VRO,Kawama Airport
GKK,Kooddoo Airport
RCS,Rochester Airport
RHD,Termas de Río Hondo international Airport
KMP,Keetmanshoop Airport
KGT,Kangding Airport
VUS,Velikiy Ustyug Airport
IOW,Iowa City Municipal Airport
TLQ,Turpan Jiaohe Airport
ANP,Lee Airport
FXO,Cuamba Airport
ODO,Bodaybo Airport
ZTR,Zhytomyr Airport
HRI,Mattala Rajapaksa International Airport
PEQ,Pecos Municipal Airport
HBG,Hattiesburg Bobby L Chain Municipal Airport
QCJ,Botucatu - Tancredo de Almeida Neves Airport
QSC,Mário Pereira Lopes–São Carlos Airport
YKN,Chan Gurney Municipal Airport
XSB,Sir Bani Yas Airport
ZBM,Bromont (Roland Desourdy) Airport
KTI,Kratie Airport
GYU,Guyuan Liupanshan Airport
CNI,Changhai Airport
KRH,Redhill Aerodrome
JGD,Jiagedaqi Airport
CCL,Chinchilla Airport
HWD,Hayward Executive Airport
MZP,Motueka Airport
JHQ,Shute Harbour Airport
ARB,Ann Arbor Municipal Airport
SHT,Shepparton Airport
TEM,Temora Airport
GAH,Gayndah Airport
WIO,Wilcannia Airport
BFJ,Bijie Feixiong Airport
ULK,Lensk Airport
KVR,Kavalerovo Airport
IGD,Iğdır Airport
GNY,Şanlıurfa GAP Airport
KZR,Zafer Airport
VLU,Velikiye Luki Airport
BEO,Lake Macquarie Airport
BMP,Brampton Island Airport
NGZ,Alameda Naval Air Station
YCN,Cochrane Airport
BJP,Estadual Arthur Siqueira Airport
BQB,Busselton Regional Airport
SEK,Srednekolymsk Airport
IVR,Inverell Airport
GLI,Glen Innes Airport
IMM,Immokalee Regional Airport
TQQ,Maranggo Airport
YIC,Yichun Mingyueshan Airport
PTB,Dinwiddie County Airport
SBM,Sheboygan County Memorial Airport
KFE,Fortescue - Dave Forrest Aerodrome
BJU,Bajura Airport
MZJ,Pinal Airpark
SAD,Safford Regional Airport
SLJ,Solomon Airport
KJP,Kerama Airport
EKB,Ekibastuz Airport
SIK,Sikeston Memorial Municipal Airport
TTI,Tetiaroa Airport
GFL,Floyd Bennett Memorial Airport
MTN,Martin State Airport
FRY,Eastern Slopes Regional Airport
NEW,Lakefront Airport
COE,Coeur D'Alene - Pappy Boyington Field
BMT,Beaumont Municipal Airport
DNV,Vermilion Regional Airport
COJ,Coonabarabran Airport
TIX,Space Coast Regional Airport
BZH,Bumi Airport
UAR,Bouarfa Airport
NYE,Nyeri Airport
AAP,Andrau Airpark
